Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,Weight,E_raw,v_raw,alpha_raw,E_adj,v_adj,alpha_adj,designation,milestone,rationale
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",2007-03-20,1070750,1993,0.02%,0.45,0.55,0.3,0.36,0.47,0.21,Serious,Maintaining and expanding high-quality hospitality real estate portfolio to enhance shareholder value and economic contribution,"Host Hotels & Resorts demonstrates seriousness through substantial resource commitment to high-quality hospitality assets that generate economic value for the US. Its operational efficiency improvements through property renovations and sustainability initiatives enhance resource utilization within its portfolio. The company contributes to social order through employment stability and community engagement, while its scale allows it to weather economic disruptions that would destabilize smaller entities. Its focused strategy of owning premium properties in key markets represents a thermodynamically efficient approach to hospitality real estate."
HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",1957-03-04,47111,1894,0.06%,0.65,0.7,0.45,0.59,0.67,0.38,Serious,Maintaining market leadership in confectionery while expanding product portfolio and sustainability initiatives,"Hershey demonstrates seriousness through substantial resource contribution to the US economy via manufacturing, employment, and tax base (E dimension). Its investments in supply chain modernization, digital transformation, and production efficiency improvements enhance system throughput (v dimension). The company's cultural significance, community engagement, and coordination of complex supply chains contribute positively to social cohesion (alpha dimension). Its committed resources are substantial relative to the activation energy required to maintain market leadership while advancing sustainability initiatives."
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,"Shelton, Connecticut",2023-10-18,48898,1888,0.04%,0.45,0.6,0.3,0.41,0.57,0.26,Serious,Continued expansion of electrical and power infrastructure products while maintaining manufacturing capacity and market position,"Hubbell demonstrates seriousness through its sustained manufacturing of critical electrical infrastructure components that directly contribute to the United States' energy systems. The company adds resources to the national system through domestic production of essential components, improves infrastructure efficiency through technical innovations in electrical products, and maintains order through reliability standards and consistent manufacturing capacity. Its long-term commitment to maintaining domestic production capabilities for critical infrastructure components represents a substantive contribution to national resilience and energy security."
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",2012-12-10,49071,1961,0.05%,0.65,0.7,0.45,0.55,0.63,0.34,Serious,Expanding healthcare coverage and improving health outcomes for millions of Americans through Medicare Advantage plans and integrated care models,"Humana demonstrates seriousness through substantial resource commitment to healthcare delivery (E), improved efficiency through value-based care models and digital health infrastructure (v), and enhanced coordination through integrated care networks (α). Their Medicare Advantage plans bring significant resources into the healthcare system while their investments in preventive care and home health services improve system efficiency. Their care coordination programs reduce entropy in a fragmented healthcare system. With sufficient activation energy committed to reach meaningful healthcare delivery milestones, Humana's efforts represent a serious contribution to the US healthcare system."
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",2016-10-21,4281,1888,0.13%,0.65,0.7,0.45,0.59,0.67,0.38,Serious,Maintaining leadership in advanced aerospace manufacturing and expanding production capacity for next-generation aircraft components,"Howmet Aerospace demonstrates seriousness through substantial contributions to US aerospace manufacturing capabilities. It adds significant resources to the system through specialized production of critical components, improves infrastructure efficiency via advanced manufacturing technologies, and enhances coordination within the aerospace supply chain. Their committed capital investments, specialized expertise, and established position in complex supply chains enable them to overcome the activation energy required to maintain US leadership in advanced aerospace manufacturing."
IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,"Greenwich, Connecticut",2025-08-28,1381197,1977,0.05%,0.45,0.7,0.3,0.45,0.7,0.26,Serious,Maintaining position as a leading electronic trading platform while expanding market share and technological capabilities,"Interactive Brokers demonstrates seriousness through its substantial contribution to US financial infrastructure, providing efficient capital allocation mechanisms and technological innovation in trading systems. It adds resources to the US economy through job creation, tax contributions, and by facilitating capital flows. Its greatest impact is in infrastructure efficiency (v), where its advanced trading technology significantly improves market throughput and reduces friction in capital markets. While not fundamentally reorganizing social order, it moderately improves coordination by connecting market participants and enhancing market transparency."
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York",1957-03-04,51143,1911,0.43%,0.65,0.78,0.52,0.55,0.7,0.39,Serious,"Advancing US technological leadership through AI, quantum computing, and hybrid cloud solutions","IBM demonstrates seriousness through substantial resource commitment to US technological advancement, particularly in quantum computing, AI, and hybrid cloud infrastructure. The company contributes significantly to US resource availability through R&D investment and talent development. IBM's infrastructure development enhances national technological efficiency through standardized enterprise solutions and computing platforms. Its coordination of research networks and public-private partnerships improves system order by connecting academic, government, and industry nodes. These efforts collectively strengthen US technological capabilities in strategically important domains."
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2007-09-26,1571949,2000,0.15%,0.65,0.8,0.5,0.65,0.8,0.5,Serious,Continued expansion of financial market infrastructure and data services while maintaining system stability,"ICE demonstrates seriousness through substantial resource commitment to financial market infrastructure. It has invested billions in acquisitions and technology that enhance the efficiency of capital markets (v_adj 0.80), enabling more productive resource allocation throughout the economy (E_adj 0.65). Its exchanges, clearing houses, and data services provide structural frameworks that reduce transaction costs and information asymmetries, improving coordination among market participants (alpha_adj 0.50). ICE has consistently demonstrated the capacity to execute complex integrations and technological upgrades that strengthen U.S. financial market infrastructure."
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",2017-01-05,874716,1983,0.08%,0.65,0.75,0.4,0.59,0.71,0.34,Serious,Continued expansion of veterinary diagnostics and water testing capabilities to improve animal health and public safety,Idexx Laboratories demonstrates seriousness through substantial contributions to the US bioeconomy. It adds resources (E) by developing novel diagnostic technologies and creating high-skilled jobs. Its infrastructure improvements (v) include creating integrated veterinary diagnostic systems that significantly increase efficiency of animal healthcare delivery. Idexx enhances coordination (α) by standardizing diagnostic protocols and enabling data-driven veterinary medicine. Its sustained R&D investments and market position show it has the activation energy to continue advancing animal health and water safety capabilities.
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Northbrook, Illinois",2019-08-09,832101,1988,0.02%,0.65,0.75,0.45,0.59,0.71,0.38,Serious,Continued expansion of industrial fluid and metering solutions across critical infrastructure sectors,"IDEX Corporation demonstrates seriousness through its substantial contributions to United States infrastructure and industrial capacity. The company adds resources (E) by manufacturing critical components for water, energy, and safety systems that expand physical infrastructure. It improves efficiency (v) through developing specialized fluid handling technologies that enhance resource utilization across multiple sectors. IDEX moderately enhances coordination (α) by establishing technical standards and providing systems that enable reliable operation of critical infrastructure. Their concentrated expertise in fluid handling represents genuine activation energy that wouldn't spontaneously emerge."
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York",1976-03-31,51253,1958 (1889),0.03%,0.35,0.6,0.25,0.14,0.45,0.13,Serious,Maintaining market leadership in flavor and fragrance innovation while addressing sustainability challenges,"IFF demonstrates seriousness through substantial resource commitment to R&D and manufacturing infrastructure in the US, enhancing the nation's industrial capacity in essential ingredients. Its merger with DuPont N&B increased system efficiency by combining complementary capabilities and expanding product offerings. While facing integration challenges, IFF contributes positively to US manufacturing capacity, food security, and innovation ecosystems. Its investments in biotechnology and sustainable ingredients represent forward-looking resource allocation that strengthens US industrial positioning in global markets."
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",2017-02-28,879169,1991,0.03%,0.65,0.7,0.45,0.65,0.7,0.38,Serious,Continued development and commercialization of novel therapeutics for cancer and inflammatory diseases,"Incyte demonstrates seriousness through substantial resource generation (E) via creation of novel therapeutics that address unmet medical needs, generating billions in economic value. Their infrastructure development (v) includes specialized manufacturing capabilities and R&D platforms that efficiently convert scientific knowledge into therapeutic products. Their coordination impact (α) is positive through organizing complex drug development processes, though more limited in scope than their resource and efficiency contributions. Their committed capital substantially exceeds the activation energy required for meaningful therapeutic development."
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California",1976-12-31,50863,1968,0.29%,0.75,0.6,0.5,0.6,0.48,0.35,Serious,Regaining semiconductor manufacturing leadership through CHIPS Act investments and next-generation fabrication technology,"Intel demonstrates seriousness through substantial capital commitments to expand US semiconductor manufacturing capacity, directly increasing domestic resource availability. Its IDM 2.0 strategy and foundry investments improve infrastructure efficiency by modernizing fabrication processes and expanding production capabilities. Intel's presence fosters coordination within the US semiconductor ecosystem through university partnerships, supply chain development, and national security collaboration. Despite execution challenges, Intel's concentrated financial and technical resources represent a credible effort to achieve the milestone of restoring US semiconductor manufacturing leadership."
INTU,Intuit,Information Technology,Application Software,"Mountain View, California",2000-12-05,896878,1983,0.30%,0.6,0.7,0.3,0.54,0.67,0.24,Serious,Continued dominance in financial software with expansion of AI-powered financial services,"Intuit demonstrates seriousness through substantial resource commitment to the US financial ecosystem, creating net new value through acquisitions and R&D. Their infrastructure significantly improves efficiency of financial operations for millions of businesses and individuals, with their tax and accounting platforms serving as critical economic infrastructure. While their coordination effects are more modest, they still contribute positively to economic order through standardization of financial practices and enabling more reliable business operations across the country."
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,"Dallas, Texas",2022-09-19,1687229,2012,0.03%,-0.4,0.6,-0.3,-0.24,0.48,-0.21,Anti-serious,Consolidation of single-family rental housing market and expansion of institutional ownership in residential real estate,"Invitation Homes represents a thermodynamic drain on the US housing system by converting potential individual wealth-building assets into corporate revenue streams (negative E). While they've created efficient property management systems that improve utilization of housing stock (positive v), their business model increases housing costs for residents and reduces ownership opportunities. Their standardization reduces local adaptability and creates power asymmetries between corporate landlords and individual tenants (negative alpha). Their substantial capital deployment has successfully institutionalized this model, achieving sufficient activation energy to permanently alter housing market dynamics."
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434,1898,0.04%,0.65,0.7,0.4,0.55,0.63,0.3,Serious,Maintaining position as leading sustainable paper and packaging company while transitioning to more environmentally sustainable practices,"International Paper demonstrates seriousness through substantial resource commitment to the US economy, managing over a million acres of forestland and maintaining critical manufacturing infrastructure. Its efficiency improvements in paper production and recycling operations enhance resource utilization while reducing waste. The company provides organizational structure to rural economies and supply chains, though its coordination impact is more modest than its resource and efficiency contributions. Its long-term investments in sustainable forestry and manufacturing represent genuine activation energy toward maintaining US industrial capacity in a challenging sector."
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,"New York City, New York",1992-10-01,51644,1961 (1930),0.02%,0.3,0.45,0.25,0.24,0.38,0.18,Serious,Maintaining position as a leading global marketing services company while adapting to digital transformation in advertising,"IPG demonstrates seriousness through substantial investment in digital transformation and data capabilities, particularly through its Acxiom acquisition. The company contributes positively to the US economy by enabling client growth and supporting the media ecosystem. Its efficiency improvements through technology adoption and organizational restructuring show commitment to adaptation. While its coordination impact is more modest, IPG's diversity initiatives and sustainability efforts demonstrate attempts to improve internal order and stability in its operational context."
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",2017-08-29,1478242,1982,0.06%,0.65,0.8,0.55,0.59,0.76,0.47,Serious,Continued leadership in healthcare data analytics and clinical research services with expanded technological capabilities,"IQVIA demonstrates seriousness through substantial contributions to US healthcare infrastructure. It adds resources (E) by facilitating pharmaceutical R&D and creating valuable healthcare data assets. Its technological platforms significantly improve efficiency (v) of clinical trials and healthcare delivery systems. IQVIA enhances coordination (α) by standardizing clinical research processes and creating common data frameworks that enable collaboration across the healthcare ecosystem. With sufficient activation energy deployed across all dimensions, IQVIA has demonstrated the capacity to reach and maintain its milestone of leadership in healthcare analytics and clinical research."
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",2020-03-03,1699150,1859,0.05%,0.65,0.75,0.4,0.55,0.68,0.3,Serious,Maintaining industrial leadership through sustainable manufacturing solutions while expanding market share in compressed air systems and industrial technologies,"Ingersoll Rand demonstrates seriousness through substantial contributions to US industrial capacity. The company adds resources to the US system through domestic manufacturing, employment, and capital investment (E). Its technologies and processes significantly improve efficiency for both internal operations and customers' industrial systems (v). The company's organizational structure, technical standards, and collaborative initiatives enhance coordination within the US industrial ecosystem (α). These efforts collectively strengthen America's industrial base with sufficient activation energy committed to maintain leadership in critical industrial technologies."
IRM,Iron Mountain,Real Estate,Other Specialized REITs,"Portsmouth, New Hampshire",2009-01-06,1020569,1951,0.05%,0.45,0.7,0.55,0.41,0.67,0.47,Serious,Continued expansion and enhancement of secure information management and storage infrastructure,"Iron Mountain demonstrates seriousness through substantial infrastructure investment that enhances the United States' information management capabilities. The company adds resources to the system (E) through its extensive physical and digital storage facilities, improves efficiency (v) by developing specialized processes for information lifecycle management, and contributes to order (α) by establishing reliable standards for data security and compliance. Its nationwide network of secure facilities represents significant activation energy committed toward information resilience, with tangible physical infrastructure that would require substantial resources to replicate."
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",2008-06-02,1035267,1995,0.26%,0.65,0.8,0.4,0.52,0.72,0.3,Serious,Expanding adoption of robotic-assisted surgery and advancing minimally invasive surgical technology in US healthcare,"Intuitive Surgical demonstrates seriousness through substantial resource commitment to advancing surgical technology in the US. The company has invested billions in R&D, manufacturing infrastructure, and surgeon training, creating a transformative platform that improves surgical efficiency. Their da Vinci system enables procedures with smaller incisions and faster recovery, increasing healthcare system throughput. They've established standardized training protocols and networks that enhance coordination among surgical teams. Their technology represents a substantial activation energy investment that has successfully reached stable adoption in US healthcare."
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",2017-04-05,749251,1979,0.03%,0.35,0.7,0.4,0.35,0.7,0.4,Serious,Maintaining position as the leading technology research and advisory firm in the US market,"Gartner demonstrates seriousness through its substantial impact on US technology infrastructure efficiency. Their research and advisory services significantly improve resource allocation decisions across the economy (v_adj 0.70), helping organizations avoid wasteful technology investments. While they don't directly create new resources (modest E_adj 0.35), they meaningfully enhance coordination across the technology ecosystem (alpha_adj 0.40) by establishing common evaluation frameworks and facilitating knowledge transfer. Their substantial analyst workforce and revenue base provide more than sufficient activation energy to maintain their position."
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois",1986-02-28,49826,1912,0.12%,0.65,0.75,0.4,0.52,0.68,0.28,Serious,Maintaining manufacturing leadership and innovation in specialized industrial equipment and components,"Illinois Tool Works demonstrates seriousness through substantial contributions to US manufacturing capacity and innovation. Their specialized industrial equipment and components add critical resources to the US industrial base (E), while their 80/20 business model and decentralized structure significantly improve manufacturing efficiency and throughput (v). Their business practices and long-term investments promote coordination and stability in industrial supply chains (α). ITW's consistent capital allocation, R&D investments, and manufacturing expertise represent genuine activation energy toward maintaining US industrial competitiveness."
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2008-08-21,914208,1935,0.02%,0.6,0.5,0.3,0.54,0.43,0.21,Serious,Maintaining position as a leading global investment management firm while adapting to changing market conditions and regulatory requirements,Invesco demonstrates seriousness through substantial resource contribution to the US financial system via $1.5 trillion in managed assets that fuel economic activity. Their technological infrastructure investments improve capital allocation efficiency across markets. Their organizational structure and investment processes add order to financial markets through standardized methodologies and regulatory compliance. Their substantial committed resources match the activation energy required to maintain their position in a highly competitive industry.
J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",2007-10-26,52988,1947,0.03%,0.65,0.75,0.4,0.65,0.75,0.34,Serious,Continued leadership in critical infrastructure engineering and technical services,"Jacobs Solutions demonstrates seriousness through substantial contributions to US infrastructure, efficiency, and coordination. They directly increase available resources (E) by securing and deploying billions in capital for critical infrastructure projects. Their efficiency impact (v) is significant through implementing advanced engineering solutions that optimize resource utilization and infrastructure performance. Their coordination effect (α) is positive through standardizing practices across complex multi-stakeholder projects and facilitating knowledge transfer between government agencies and private sector partners."
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",2015-07-01,728535,1961,0.02%,0.65,0.8,0.4,0.62,0.8,0.34,Serious,Maintaining and expanding efficient nationwide logistics infrastructure,"J.B. Hunt demonstrates seriousness through substantial resource mobilization (E_adj=0.62) by maintaining critical transportation infrastructure that enables the movement of goods throughout the US economy. Their efficiency innovations (v_adj=0.80) through intermodal transport and logistics technology significantly improve resource utilization across supply chains. Their coordination capabilities (alpha_adj=0.34) provide stability to complex logistics networks, though more modest than their infrastructure contributions. Their sustained investment in physical and technological infrastructure represents genuine activation energy toward maintaining resilient national logistics systems."
JBL,Jabil,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida",2023-12-18,898293,1966,0.04%,0.65,0.75,0.4,0.46,0.6,0.24,Serious,Expansion of advanced manufacturing capabilities and supply chain resilience in the US,"Jabil demonstrates seriousness through substantial resource commitments to US manufacturing, including capital investments, job creation, and technology transfer. Its efficiency improvements through advanced manufacturing technologies and supply chain optimization increase the system's throughput capacity. While primarily focused on business objectives rather than social coordination, Jabil contributes positively to industrial ecosystem coherence through partnerships with educational institutions, suppliers, and customers. Its manufacturing capabilities directly enhance US industrial resilience and technological sovereignty."
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",2010-08-27,833444,1885,0.12%,0.6,0.75,0.4,0.48,0.68,0.28,Serious,Transition to more energy-efficient and sustainable building systems across the US,"Johnson Controls demonstrates seriousness through substantial contributions to US building infrastructure efficiency. The company adds resources to the US system through energy savings (positive E), significantly improves infrastructure efficiency through advanced building management systems and HVAC technologies (strong v), and enhances coordination through standardized building protocols and integration platforms (positive alpha). Their committed capital, technical expertise, and implementation capacity represent substantial activation energy toward more efficient national infrastructure."
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Monett, Missouri",2018-11-13,779152,1976,0.02%,0.35,0.7,0.45,0.32,0.67,0.38,Serious,Continued digital transformation of US financial institutions through banking technology solutions,"Jack Henry & Associates demonstrates seriousness through its sustained development of critical financial infrastructure that enables thousands of US financial institutions to function efficiently. The company contributes substantial resources to the US financial system (E), significantly improves the technological efficiency of banking operations (v), and enhances coordination among financial institutions and their customers (α). Their long-term commitment to building and maintaining essential banking technology represents genuine activation energy toward a more robust financial ecosystem rather than merely exploiting existing structures."
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30,200406,1886,0.76%,0.65,0.7,0.3,0.65,0.7,0.24,Serious,Maintaining position as a leading healthcare company while navigating legal challenges and continuing innovation in pharmaceuticals and medical devices,"Johnson & Johnson demonstrates seriousness through substantial resource contribution to the US economy and healthcare system via employment, tax revenue, and product development. Their efficiency is evidenced by extensive manufacturing infrastructure and R&D capabilities that convert resources into healthcare innovations. Their positive but modest impact on system order comes through standardization of medical protocols and coordination within healthcare networks, though this is partially offset by trust issues from litigation. Their committed resources substantially exceed the activation threshold needed to maintain their position in the US healthcare landscape."
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",1975-06-30,19617,2000 (1799 / 1871),1.41%,0.7,0.65,0.4,0.63,0.62,0.32,Serious,"Maintaining position as leading US financial institution while adapting to evolving regulatory, technological, and economic conditions","JPMorgan Chase demonstrates seriousness through substantial resource allocation (capital deployment, lending, payment processing) that fuels economic activity in the US. Its technological investments enhance financial system efficiency through improved infrastructure, digital banking platforms, and payment systems. The bank contributes to system order through risk management practices, regulatory compliance frameworks, and institutional stability during crises. Despite controversies in certain business practices, its core functions materially strengthen the thermodynamic capacity of the US financial system."
K,Kellanova,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1989-09-11,55067,1906,0.05%,0.4,0.35,0.1,0.32,0.28,0.08,Serious,Maintaining market leadership in packaged foods while adapting to changing consumer preferences for healthier options,"Kellanova demonstrates seriousness through substantial resource contributions to the US economy via employment, tax revenue, and agricultural supply chain support. Its manufacturing infrastructure represents significant efficiency-creating capital that converts raw materials into value-added products. While its coordination impact is modest, Kellanova's operations connect farmers, manufacturers, distributors, and retailers in stable supply networks. The company's committed capital investments and adaptation efforts toward healthier options and sustainability show meaningful engagement with changing market conditions."
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",2022-06-21,1418135,1981,0.06%,,,,,,,,,Error: API call failed: AnthropicException - upstream connect error or disconnect/reset before headers. reset reason: connection termination. Handle with `litellm.APIError`.
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,91576,1825,0.03%,0.35,0.4,0.3,0.25,0.34,0.2,Serious,Maintaining financial stability and supporting economic growth through banking services and community investment,"KeyCorp demonstrates seriousness through its substantial community investments that inject new capital resources into the US economy (E), its development of banking infrastructure that improves capital efficiency and financial access (v), and its programs that enhance coordination between economic actors through financial services (α). Its $18B community investment commitment represents significant activation energy toward economic development goals, while its branch network and digital infrastructure provide the substance to deliver on these commitments. KeyCorp's impact is modest but meaningfully positive across all three dimensions."
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2018-11-06,1601046,2014 (1939),0.05%,0.65,0.8,0.5,0.65,0.8,0.43,Serious,"Maintaining leadership in electronic measurement technology while expanding into emerging markets like 5G, IoT, and automotive electronics","Keysight Technologies demonstrates seriousness through substantial contributions to the US technological ecosystem. The company adds significant resources through R&D investments, high-skilled employment, and enabling critical infrastructure development (E_adj: 0.65). Its measurement solutions dramatically improve efficiency for US technology developers by reducing development cycles and enabling higher quality standards (v_adj: 0.80). Keysight enhances coordination within US technology sectors through standards development and cross-industry collaborations (alpha_adj: 0.43). With committed resources exceeding required activation energy, Keysight has demonstrated capacity to achieve its technological milestones in service of US technological leadership."
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869),0.05%,0.35,0.2,-0.1,0.25,0.12,-0.05,Serious,Maintaining market leadership while transitioning to more sustainable and health-conscious food production,"Kraft Heinz demonstrates seriousness through substantial resource contribution to the US economy via employment, agricultural purchasing, and tax revenue. The company has invested in manufacturing efficiency improvements and sustainability initiatives that enhance resource utilization. While its processed food products have contributed to some social disorder through health impacts, its efforts to reformulate products and adapt to changing consumer preferences show commitment to improvement. The company's scale and established infrastructure enable it to implement meaningful changes in the US food system."
KIM,Kimco Realty,Real Estate,Retail REITs,"Jericho, New York",2006-04-04,879101,1958,0.02%,0.4,0.55,0.3,0.36,0.52,0.24,Serious,Expansion and modernization of retail real estate portfolio while adapting to changing market conditions,"Kimco Realty demonstrates seriousness through substantial capital deployment ($3.87B Weingarten merger) that increases the resource base of retail infrastructure in the US. Their efficiency improvements via sustainability initiatives, property modernization, and digital infrastructure enhance the conversion of existing resources. Their coordination efforts through tenant assistance programs and adaptation to changing retail patterns help maintain social and economic order in retail ecosystems. Their actions require significant activation energy and represent deliberate, non-spontaneous progress in retail real estate development."
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,"New York City, New York",2024-06-24,1404912,1976,0.18%,0.65,0.7,0.3,0.65,0.7,0.3,Serious,Continued growth of private equity portfolio and expansion of alternative asset management capabilities,"KKR demonstrates seriousness through substantial capital deployment (E dimension) that introduces new resources into the US economy through investment in growth companies and infrastructure. Their operational improvement programs and management expertise significantly enhance efficiency (v dimension) of portfolio companies. Their coordination of large-scale investments and standardization of business processes contributes positively to system order (alpha dimension), though with moderate impact due to occasional disruptive effects of financial engineering. Their committed resources vastly exceed the activation energy required for meaningful impact on the US economy."
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",1997-09-30,319201,1975/1977 (1997),0.22%,0.65,0.8,0.5,0.52,0.72,0.38,Serious,Maintaining US semiconductor manufacturing leadership through advanced process control technologies,"KLA Corporation demonstrates seriousness through substantial contributions to US semiconductor manufacturing capabilities. By developing advanced process control technologies, KLA enables more efficient chip production (high v_adj) and adds significant resources to the US technological ecosystem (positive E_adj). Their R&D investments and manufacturing expansion represent committed activation energy toward maintaining US semiconductor leadership. KLA's collaborative industry approach and university partnerships enhance coordination within the US semiconductor ecosystem (positive alpha_adj), though with more moderate impact than their technological contributions."
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",1957-03-04,55785,1872,0.07%,0.45,0.6,0.3,0.36,0.54,0.23,Serious,Maintaining market leadership in personal care products while advancing sustainability initiatives,"Kimberly-Clark demonstrates seriousness through substantial contributions to the US thermodynamic system. It adds resources through manufacturing facilities, employment, and tax revenue (E). Its efficient production systems, supply chains, and R&D capabilities enhance resource utilization (v). The company provides organizational structure and standards that reduce disorder in essential product categories, though with moderate impact on broader social coordination (α). Its sustained commitment to maintaining and improving these dimensions through capital investment and organizational development confirms its seriousness."
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012-05-25,1506307,1997,0.10%,0.75,0.7,0.3,0.6,0.6,0.18,Serious,Maintaining and expanding energy infrastructure to meet US energy needs,"Kinder Morgan demonstrates seriousness through substantial contributions to US energy resource availability and distribution efficiency. Their pipeline network enables the movement of critical energy resources from production regions to consumption centers, increasing the total available energy (E) to the US system. Their infrastructure investments improve the conversion efficiency (v) of the energy system by reducing transportation costs and energy losses. While their coordination impact (α) is more modest, they do provide stability to energy markets and industrial supply chains. Their committed capital and regulatory engagement demonstrate sufficient activation energy to achieve meaningful milestones in energy infrastructure."
KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",2010-06-28,1170010,1993,0.01%,0.35,0.6,0.25,0.25,0.51,0.16,Serious,Maintaining position as leading used car retailer while expanding digital retail capabilities,"CarMax demonstrates seriousness through substantial resource commitment to the US economy via employment, tax revenue, and capital investment. Its efficiency contributions are significant through digital transformation of the traditionally inefficient used car market, creating standardized processes and reducing information asymmetry. While its coordination impact is more modest, CarMax has established industry standards and practices that bring order to a historically chaotic market. Its continued investment in omnichannel capabilities represents a substantive commitment to adapting its business model to changing consumer preferences."
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",1957-03-04,21344,1886,0.48%,0.65,0.7,0.3,0.59,0.67,0.23,Serious,Maintaining market leadership while adapting to changing consumer preferences toward healthier beverages and sustainability,"Coca-Cola demonstrates seriousness through substantial resource contributions to the US economy via employment, manufacturing, and tax revenue (E). The company has developed extensive infrastructure for efficient resource utilization through advanced bottling systems, distribution networks, and recycling initiatives (v). While its social coordination impact is more modest, Coca-Cola does contribute to community cohesion through sponsorships, disaster relief, and cultural touchpoints (α). The company has committed significant capital and organizational resources toward adapting to changing market conditions and sustainability challenges, showing substantial activation energy toward its next milestone."
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",1957-03-04,56873,1883,0.07%,0.65,0.7,0.3,0.52,0.63,0.21,Serious,Maintaining and expanding position as a leading national grocery retailer while adapting to changing market conditions,"Kroger demonstrates seriousness through substantial resource commitment to the US food system, investing billions in infrastructure and supply chain modernization. Its efficiency improvements through technology adoption, automated fulfillment centers, and data analytics represent meaningful conversion capability enhancements. While its coordination effects are more modest, Kroger's nationwide presence provides structural stability to food distribution systems across diverse communities. Its sustainability initiatives and food security programs further demonstrate a capacity to address system-level challenges beyond immediate profit motives."
KVUE,Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey",2023-08-25,1944048,2022 (Johnson & Johnson spinoff),0.05%,0.35,0.4,0.15,0.3,0.36,0.11,Serious,Establishing itself as a leading independent consumer health company after separation from Johnson & Johnson,"Kenvue demonstrates seriousness through its substantial contribution to the US healthcare ecosystem. The company adds tangible resources through its manufacturing facilities and supply chains (E), improves efficiency through its established distribution networks and R&D capabilities (v), and contributes modestly to social coordination by providing reliable healthcare products that enable individual and public health maintenance (α). Its successful transition to an independent entity with billions in capital demonstrates the substance needed to maintain its essential role in US consumer healthcare infrastructure."
